f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,label,label_flip
1,37,79.46339,0,1,0,100,0,1,18,0,1,1,2,0,1,0,322,469,882,754,1,0
0,33,73.02314,0,1,0,90,0,1,224,0,1,1,3,1,1,1,168,575,1035,1525,1,1
1,43,69.47793,0,1,0,100,0,1,0,0,0,1,1,0,0,0,377,333,1147,1088,1,0
3,42,89.15934,0,1,0,100,1,1,513,0,1,1,3,0,0,0,238,324,775,1019,1,1
2,37,71.87923,0,1,0,90,0,1,238,0,1,1,2,0,1,1,520,543,740,694,1,0
0,27,86.94414,0,1,0,100,0,1,803,0,1,1,2,0,0,0,274,314,1563,664,0,0
2,24,77.40261,0,1,0,100,0,1,443,0,1,1,3,0,1,1,400,142,1191,1443,1,1
3,30,65.42585,0,1,0,100,0,0,0,1,1,0,1,0,1,0,475,511,844,997,1,1
1,29,73.07705,0,1,0,100,0,1,997,0,1,1,3,0,1,0,290,727,2007,1186,0,0
2,36,69.57742,1,1,0,100,0,1,489,0,1,0,3,0,1,1,561,470,2552,613,0,0
1,28,75.83373,0,1,0,100,0,1,0,0,1,1,3,0,0,1,445,417,775,619,1,0
3,34,88.19351,0,0,0,100,0,1,49,1,1,0,1,0,1,0,252,409,1423,1389,0,0
3,45,68.28695,0,1,0,100,0,1,492,0,0,1,1,0,1,0,325,264,1773,959,1,0
3,41,72.10005,0,1,0,90,0,0,195,1,1,0,1,0,1,0,242,266,865,1163,1,0
0,25,94.66302,0,1,0,100,0,1,567,0,1,0,3,0,0,0,512,642,1506,918,1,1
1,36,68.87198,0,1,0,90,0,0,7,0,1,0,1,0,1,0,251,689,1376,1598,1,1
2,36,64.94034,0,0,0,90,0,1,770,0,1,1,2,0,1,0,277,266,1328,899,1,0
2,19,78.32288,0,0,1,90,0,0,7,0,1,0,1,0,1,0,527,292,1150,437,0,0
0,22,66.34741,0,0,0,100,0,0,0,1,1,0,1,0,0,1,373,404,843,365,1,1
3,28,66.00806,0,1,0,100,0,1,1333,0,1,1,2,0,0,0,326,443,709,683,1,0
3,29,69.32913,0,1,0,100,0,1,794,0,1,1,3,0,1,0,195,172,1467,598,1,1
2,41,89.69489,0,1,0,100,0,1,835,0,1,1,3,0,1,0,226,412,1192,755,1,1
3,41,88.70798,0,1,1,100,0,1,757,0,1,1,3,0,1,0,428,257,1962,785,1,0
